age,mileage,vehicle_type,damage_level,scrap_price
17,196452,Sedan,Low,5924.68
7,7290,Sedan,Medium,17558.48
24,52273,Motorcycle,Medium,2010.25
11,226903,Sedan,Medium,8798.31
19,37421,Truck,Low,10453.58
10,44349,SUV,Low,21190.53
10,236912,Van,Medium,11181.24
13,143524,Truck,Low,18138.47
11,250124,Van,Low,15907.3
15,69544,Van,High,2586.59
21,280100,Van,High,2137.94
24,162466,Motorcycle,High,874.33
11,208603,Sedan,High,3942.7
11,264468,Truck,High,7414.33
15,212611,Van,Low,8886.83
15,30782,SUV,Low,11018.51
23,255750,Motorcycle,High,862.98
9,133115,Sedan,High,4752.13
6,90953,Sedan,High,6211.72
16,131822,SUV,Low,8694.26
5,256164,SUV,High,9103.43
19,217269,Truck,Medium,6697.02
18,74925,Truck,Low,11084.13
13,246271,Motorcycle,High,1631.62
21,102953,Truck,Low,10734.44
8,88599,SUV,High,7586.4
11,78762,Sedan,Low,13146.7
6,16372,Van,Low,27545.18
1,39214,Motorcycle,High,4142.0
25,96848,Van,Medium,4583.28
7,160672,Motorcycle,High,2799.4
19,280393,SUV,High,2396.29
22,258373,Truck,Medium,7274.14
11,145891,Truck,Low,25263.98
2,237031,Truck,Medium,31806.06
20,41406,SUV,High,2635.77
4,20442,Sedan,High,7439.28
10,133898,SUV,High,6082.48
25,231752,SUV,Low,8393.92
15,249770,SUV,Low,10961.2
14,270411,Sedan,Medium,5792.56
10,255684,Sedan,Medium,9265.86
18,194533,Sedan,Low,5927.07
2,180666,Van,Medium,20363.89
17,164507,SUV,High,2466.49
24,24709,Motorcycle,High,881.78
2,74350,Motorcycle,Medium,8352.49
21,232713,Motorcycle,Medium,1951.24
14,242734,Motorcycle,Low,4442.06
1,230286,SUV,Low,41267.65
8,217251,SUV,High,7682.74
12,216571,Truck,Medium,14361.42
10,239784,Truck,Medium,17716.75
21,114505,Sedan,High,1876.56
19,258967,Van,High,2204.94
20,45572,Truck,High,3374.1
17,229001,Sedan,High,1843.22
11,169407,Sedan,Medium,8860.31
22,113809,SUV,Medium,5610.19
14,160503,SUV,Low,12136.05
8,139878,Motorcycle,Low,8667.69
6,292337,Van,High,7888.53
18,44127,Sedan,Medium,3945.21
18,182961,SUV,Medium,5195.89
23,43395,SUV,High,2507.51
24,90641,SUV,Low,8665.96
17,164480,Motorcycle,Medium,1886.16
21,89733,Truck,Medium,7171.02
24,269249,Motorcycle,Low,3104.17
25,267766,Van,Low,7494.48
5,112494,Motorcycle,High,3423.25
21,258272,Sedan,Medium,3961.33
10,40333,Motorcycle,High,2148.63
23,45388,SUV,High,2576.28
19,199027,Motorcycle,Medium,1943.67
19,286270,Truck,Medium,6686.2
22,175166,Van,Medium,4767.37
20,146211,Van,Medium,4536.23
22,288942,SUV,Low,8699.31
15,85827,SUV,Medium,7032.47
2,289690,Sedan,High,8407.85
14,48869,Motorcycle,Medium,2817.48
4,224516,Truck,Medium,29205.64
24,240729,Van,Medium,4891.11
11,266757,Van,Medium,10343.06
25,192943,Motorcycle,Medium,1871.98
6,138570,Motorcycle,Medium,6671.16
1,32421,Motorcycle,High,4252.09
17,222540,Van,Low,7049.64
2,192387,Sedan,Medium,17343.99
9,175443,Sedan,Low,15963.96
9,163616,Truck,Low,30501.43
19,252626,Truck,Low,10415.22
7,110691,Van,Medium,15836.88
14,13906,Van,Low,13431.08
16,26965,Sedan,Medium,3712.75
8,219019,SUV,Low,26162.38
10,145394,SUV,Low,21026.66
14,36857,SUV,Low,12974.62
11,30433,Van,High,4974.64
8,20936,Van,Medium,14386.38
7,146093,Van,Low,23596.28
14,39714,Van,Medium,7087.66
19,260317,SUV,Medium,5370.8
5,296104,Truck,Low,39324.47
13,146715,Van,Low,12346.52
2,248289,SUV,Medium,25192.88
13,263024,Truck,High,5938.58
1,173751,Motorcycle,High,4334.49
8,136708,Sedan,Medium,11798.84
21,292575,Sedan,Low,6094.72
14,5571,SUV,High,5663.55
9,82143,Sedan,Low,17274.59
12,283106,Van,Low,14158.26
9,14207,Motorcycle,Low,10182.05
5,26427,SUV,Low,31700.09
15,246086,Motorcycle,Medium,2445.44
15,195093,Van,Medium,6116.57
4,166880,Sedan,High,7487.53
24,145144,Van,High,2086.34
1,267595,Van,High,9879.49
20,172772,Van,Medium,4771.88
9,60585,Van,Medium,12431.36
21,120229,SUV,Medium,5204.0
21,194055,Van,Medium,4781.29
25,151774,SUV,Medium,5416.31
16,158372,Van,Low,6911.03
15,105909,Sedan,Medium,4827.64
19,117007,Sedan,Medium,3740.99
17,52357,Motorcycle,High,900.06
10,81903,Motorcycle,Medium,5031.83
19,168792,Motorcycle,High,904.39
1,225415,SUV,Low,38437.74
24,80713,SUV,High,2513.39
15,268500,Van,Low,9432.63
6,124537,Motorcycle,High,3253.17
2,23828,Motorcycle,Medium,9059.24
23,289244,Motorcycle,Low,3051.33
18,152098,Motorcycle,Medium,1965.78
23,141047,Sedan,High,1852.39
14,265256,Truck,Medium,10216.76
17,45576,Van,High,2186.85
2,242205,SUV,Medium,24604.86
12,38974,Truck,Medium,14183.95
18,163597,Truck,High,3397.97
25,209790,SUV,Medium,5638.42
7,270042,Truck,High,10542.35
14,112669,Van,Low,11190.14
1,256126,Motorcycle,Low,13752.59
19,214268,Sedan,Low,5768.71
21,19605,Truck,High,3147.49
18,57307,SUV,High,2557.05
18,279199,Motorcycle,High,925.57
4,272776,SUV,Low,34100.16
16,8692,Motorcycle,Medium,2742.82
20,24214,Sedan,Low,5972.81
5,120052,Motorcycle,Low,11350.66
5,208225,Van,High,8418.71
8,149127,Van,High,6758.44
14,164272,Van,Medium,7315.77
8,170770,Sedan,Medium,11689.27
15,272928,Van,Medium,6061.92
24,123114,SUV,Medium,5380.46
15,11957,Motorcycle,Medium,3009.43
4,94552,SUV,Low,33004.96
11,27391,Truck,Medium,16073.18
2,192420,SUV,High,10879.16
16,121729,Van,Medium,4778.71
9,143101,Sedan,Medium,10583.05
17,286749,SUV,Low,8796.36
10,38497,Truck,Medium,18341.46
21,58688,SUV,Low,8801.33
11,30805,SUV,Medium,12328.92
15,64680,Truck,High,4151.27
25,284872,Van,Low,7375.43
19,234591,Motorcycle,High,895.18
2,79513,SUV,High,11876.97
25,144989,Truck,Medium,7028.69
9,221013,Motorcycle,High,2551.78
1,126583,Motorcycle,High,4427.29
10,16350,Sedan,Medium,10627.77
5,172404,Motorcycle,Low,11540.68
17,114215,Sedan,Medium,3932.09
16,196916,Motorcycle,High,937.53
20,82228,Motorcycle,Low,2881.34
13,298370,SUV,High,4206.15
19,51519,Truck,High,3197.33
23,164540,SUV,Low,8170.38
